customerid,firstname,lastname,phone,email,address
CUZ6NEGT1KC6,John,Brown,+41 (0)1748330217,customer4@example.com,"64083 Oak St, City, Country"
CU8VPHA9FOMH,Sophia,Jones,+41 (0)9903831451,customer5@example.com,"19092 Oak St, City, Country"
CUITIA6FINIX,John,Brown,+41 (0)1847224247,customer7@example.com,"71885 Elm St, City, Country"
CUG79HUA45AA,John,Davis,+41 (0)2748924051,customer12@example.com,"04362 Elm St, City, Country"
CUEYIGLKMYGK,John,Smith,+41 (0)8500639146,customer13@example.com,"27193 Spruce St, City, Country"
CU0ZTP23OM44,John,Smith,+41 (0)7890108240,customer19@example.com,"90202 Pine St, City, Country"
CU7Y0JD7LD9O,Sophia,Jones,+41 (0)4395087007,customer23@example.com,"57188 Oak St, City, Country"
CU1QPGU3U7LN,Sophia,Martinez,+41 (0)8111974476,customer24@example.com,"82030 Ash St, City, Country"
CUR9WI0J9Z19,Sophia,Garcia,+41 (0)1970846958,customer28@example.com,"11513 Maple St, City, Country"
CUY701LB7AWY,John,Brown,+41 (0)4600744958,customer29@example.com,"75265 Birch St, City, Country"
CU1SJ5DS0Y15,Sophia,Garcia,+41 (0)4504568827,customer30@example.com,"88559 Maple St, City, Country"
CUH0OHJA2F74,Sophia,Rodriguez,+41 (0)6208793852,customer34@example.com,"82398 Main St, City, Country"
CU8T5JQNQXLW,John,Johnson,+41 (0)0159095920,customer44@example.com,"42598 Ash St, City, Country"
CU5HYG66OB5V,Sophia,Rodriguez,+41 (0)8343053833,customer55@example.com,"40718 Cedar St, City, Country"
CUL5DJWLFJY6,Sophia,Davis,+41 (0)9119212672,customer59@example.com,"48698 Main St, City, Country"
CUUG4WP6YGP7,Sophia,Rodriguez,+41 (0)5083007361,customer60@example.com,"59993 Oak St, City, Country"
CUWQBZMX0CH5,John,Martinez,+41 (0)2712761233,customer61@example.com,"05489 Oak St, City, Country"
CU99G834EV6V,John,Miller,+41 (0)7808808363,customer73@example.com,"87347 Birch St, City, Country"
CUL4MTFOJ4O3,John,Smith,+41 (0)6287224559,customer74@example.com,"36541 Willow St, City, Country"
CU31LOM5FA3J,Sophia,Garcia,+41 (0)4786611450,customer78@example.com,"66973 Willow St, City, Country"
CU1JZBL0R41W,Sophia,Brown,+41 (0)4393700654,customer79@example.com,"13290 Oak St, City, Country"
CUHVZB9NFQQQ,Sophia,Davis,+41 (0)8325350541,customer81@example.com,"41145 Maple St, City, Country"
CUA2ELE7JXI7,Sophia,Jones,+41 (0)4111702991,customer93@example.com,"12971 Oak St, City, Country"
CUO5WOESHIOF,John,Jones,+41 (0)6706403170,customer95@example.com,"70893 Ash St, City, Country"
CUAMZCIF23IX,Sophia,Davis,+41 (0)4904720244,customer96@example.com,"03395 Ash St, City, Country"
CUZW9TVC5PFV,Sophia,Smith,+41 (0)0515770378,customer97@example.com,"64446 Elm St, City, Country"
CUIQNQJXQ5W2,John,Smith,+41 (0)8467741640,customer99@example.com,"60909 Ash St, City, Country"
CUDBKIH1XFTI,John,Rodriguez,+41 (0)8267572062,customer107@example.com,"90678 Willow St, City, Country"
CUFGXJUOO58J,Sophia,Miller,+41 (0)9982963782,customer109@example.com,"80011 Ash St, City, Country"
CUI3KENLOJIE,Sophia,Martinez,+41 (0)9000991795,customer116@example.com,"40018 Oak St, City, Country"
CUIYQX2I6KMF,John,Williams,+41 (0)2752804879,customer126@example.com,"04763 Maple St, City, Country"
CUGHUARWL2VD,John,Martinez,+41 (0)3385329987,customer127@example.com,"58093 Oak St, City, Country"
CUW2K2DN66OQ,John,Garcia,+41 (0)7006946193,customer132@example.com,"53551 Willow St, City, Country"
CU88YI62S49W,John,Smith,+41 (0)9475561975,customer136@example.com,"10752 Cedar St, City, Country"
CU3OMPX3CLU3,John,Brown,+41 (0)1643764138,customer139@example.com,"04228 Oak St, City, Country"
CUGUKY8Z5YIE,Sophia,Martinez,+41 (0)1595521335,customer144@example.com,"09930 Maple St, City, Country"
CUQHLJGGJR1M,Sophia,Rodriguez,+41 (0)0851685974,customer152@example.com,"63687 Spruce St, City, Country"
